0.9600	0.305
1.0000	0.187
1.0400	0.164
1.0800	0.258
1.1200	0.164
1.1600	0.187
1.2000	0.211
1.2400	0.211
1.2800	0.258
1.3200	0.234
1.3600	0.234
1.4000	0.211
1.4400	0.187
1.4800	0.211
1.5200	0.141
1.5600	0.258
1.6000	0.187
1.6400	0.281
1.6800	0.234
1.7200	0.187
1.7600	0.234
1.8000	0.187
1.8400	0.211
1.8800	0.211
1.9200	0.164
1.9600	0.211
2.0000	0.258
2.0400	0.211
2.0800	0.211
2.1200	0.211
2.1600	0.211
2.2000	0.211
2.2400	0.211
2.2800	0.187
2.3200	0.281
2.3600	0.141
2.4000	0.258
2.4400	0.234
2.4800	0.211
2.5200	0.211
2.5600	0.187
2.6000	0.187
2.6400	0.187
2.6800	0.258
2.7200	0.211
2.7600	0.258
2.8000	0.211
2.8400	0.187
2.8800	0.281
2.9200	0.141
2.9600	0.164
3.0000	0.258
3.0400	0.164
3.0800	0.258
3.1200	0.234
3.1600	0.234
3.2000	0.211
3.2400	0.234
3.2800	0.117
3.3200	0.258
3.3600	0.211
3.4000	0.234
3.4400	0.211
3.4800	0.211
3.5200	0.234
3.5600	0.164
3.6000	0.234
3.6400	0.281
3.6800	0.211
3.7200	0.164
3.7600	0.211
3.8000	0.141
3.8400	0.258
3.8800	0.258
