samp|d|S|g|I|nC|mC|nva|nvd
117.0|0.0|0.9997229004000004|0.00016723632818400002|0.00011840820312799997|0.000112304687364|0.9998742675200002|0.0|0.0
90.0|0.050000000700000005|0.9996734832222223|8.612738932555556e-05|4.408094673777778e-06|6.713867099444444e-05|0.9998016529111109|9.625508351888888|11.002806425555555
168.0|0.10000000099999999|0.9973475339285715|0.00018673851485119053|3.451392900238095e-06|0.00014949980424583333|0.9982870335357144|2.9217395099999997|3.7846606089285717
269.0|0.125|0.9948693288624536|0.0002618385530297398|3.97068871535316e-06|0.00021543822405353162|0.9963034279033458|9.622582816728626|13.027868491449814
469.0|0.150000006|0.9706579633880597|0.00040635879754243064|3.7740288632196153e-06|0.0003196212033398721|0.9828204835095948|7.22097742108742|10.156259114925373
1004.0|0.174999997|0.9111848565398405|0.0006213853155268926|2.918015513496016e-06|0.00046797673565338645|0.9501424980916335|9.619838254950201|14.005317203585657
1753.0|0.200000003|0.800101416983457|0.0008781681286537365|2.228322910895608e-06|0.0006025524402555618|0.912171466011409|8.978322541511693|13.24438730598973
535.0|0.209999993|0.7289685009813086|0.001017062464626168|1.9394349218654207e-06|0.0006627733564691588|0.8919540391588786|9.62032057491589|14.218535168785047
1853.0|0.21999999899999997|0.6637041658181329|0.0011363474793016724|1.6469281329471127e-06|0.0007102871626087425|0.8696496766459796|9.621794261381542|14.206346936697248
1894.0|0.239999995|0.5449835684873283|0.0013788821336531147|2.0785467559751843e-06|0.0007444097741979938|0.8712412222618796|9.026545861911298|13.231209304118268
615.0|0.25999999|0.43922049150894305|0.0016325167309105691|2.5803480443414634e-06|0.0007445792885902438|0.8741939754536586|9.619573674097563|13.940729142439023
1692.0|0.27000001100000004|0.3895497637198581|0.001767521496530733|2.9940413377659575e-06|0.0007286793231217492|0.8832791348516549|8.955149210975176|12.878713971099291
1222.0|0.28499999600000003|0.34491283421931257|0.0019793471278887077|3.5462324777250403e-06|0.000671286820586743|0.9042708551227495|9.622377968821603|13.673367746317512
1975.0|0.300000012|0.28993421076810133|0.0023142870120658227|3.2217290929873415e-06|0.0006176294213113924|0.9218134883316456|9.050658922653165|12.677663256000002
308.0|0.319999993|0.23340379196753253|0.0028749194139610387|3.368823743863636e-06|0.0005565990133896105|0.942454501012987|5.9651377187013|8.175799339285714
317.0|0.34000000399999997|0.20774514178927447|0.00394774240022082|5.4873877196529965e-06|0.00048214403605678234|0.9570945197760253|6.069644845425867|8.166342082018927
117.0|0.360000014|0.16160733724102566|0.00559417204094017|5.216680046495727e-06|0.00037860055266666665|0.9759796705811966|0.0|0.0
317.0|0.379999995|0.1340406183258675|0.008493994734416404|4.81349797555205e-06|0.00032192674305678233|0.9799483911293374|6.067117154574133|7.719876845425868
117.0|0.400000006|0.1070971378965812|0.01240839506239316|4.173344071880343e-06|0.00025744315894615387|0.9881860482735044|0.0|0.0
117.0|0.419999987|0.08996503824188035|0.01643697633059829|5.216680078974359e-06|0.00022014389920854702|0.9895653347692308|0.0|0.0
117.0|0.43999999799999995|0.07199096718632479|0.02006674241794872|2.347506069230769e-06|0.00017606295241794868|0.9939241313076924|0.0|0.0
117.0|0.47999998899999996|0.05112789864957265|0.0276763133034188|4.6950120907692325e-06|0.00015493539687008547|0.9960572394444444|0.0|0.0
617.0|0.5|0.04447845677617504|0.03136153748849271|3.7590536487844407e-06|0.00013962905550858994|0.9970892301118313|7.7975882090761734|8.99292698541329
117.0|0.550000012|0.03055748586752137|0.03883740075982906|3.1300080747863256e-06|0.00012624365691623932|0.9981900748632476|0.0|0.0
117.0|0.600000024|0.025478004770940168|0.04335087207521368|3.6516760759829058e-06|0.0001233744817982906|0.9983009324188036|0.0|0.0
117.0|0.699999988|0.016524355734957263|0.05169390841880343|2.869174042478632e-06|0.00012337448286581194|0.9983403157863248|0.0|0.0
117.0|0.800000012|0.013276972403760684|0.056343013987179474|5.738348137692309e-06|0.00012128781143076924|0.9985703703846154|0.0|0.0
700.0|1.0|0.009323948994285713|0.06185163501428572|4.970005587142857e-06|0.00013231550114285715|0.9984904954285714|9.620470045714285|10.977467557142859
800.0|1.5|0.006222991794999999|0.06303199566249999|6.179809304999999e-06|0.000204162590375|0.99720414725|9.62215066|11.3885255875
700.0|2.0|0.005490984301428572|0.05842590384285714|8.152553162857143e-06|0.00031808036557142853|0.9950665235714287|9.619760652857142|11.927331800000001
610.0|2.5|0.005482057948557376|0.05268369739786885|8.70501437737705e-06|0.0004722720418852459|0.9915927711311476|9.620828695262293|12.559968851803276
210.0|3.0|0.005883062542904761|0.04744698464666666|7.992698753809523e-06|0.0006827217994476191|0.986093822809524|9.618271306095238|13.242350545714284
610.0|3.5|0.00679401363390164|0.042964748418688525|1.205694546934426e-05|0.000938390554790164|0.9788101265065574|9.619194660344263|13.99640123770492
710.0|4.0|0.008188683262323943|0.039257254549859164|1.1605276406478875e-05|0.0012541865106450705|0.967368297638028|9.619809621788733|14.754915761267606
610.0|4.25|0.009236720466360655|0.037507854533278685|9.95573465e-06|0.001452386617081967|0.9594228968688524|9.62059714814754|15.153592043442622
763.0|4.5|0.010552922426107472|0.03590190951992136|1.0759146055045872e-05|0.0016303906022280474|0.9507155072752292|9.622121848387943|15.531008363433815
1054.0|4.75|0.011885091285967741|0.03419668442770399|1.0626139979222012e-05|0.0018254665737476282|0.9383771091736243|9.620026750189753|15.892549394876657
641.0|5.0|0.014009615501107645|0.03227745667379095|9.950349311107644e-06|0.0020511526334945403|0.9205102385179406|9.621276621856474|16.275225039313572
