samp|d|S|g|I|nC|mC|nva|nvd
550.0|5.25|0.016705211521272727|0.03012850669054545|1.059792258341818e-05|0.002375432829854545|0.8872384443563636|9.61904971429091|16.645661705636364
696.0|5.5|0.020416741988218388|0.02746915283318965|9.997137793362069e-06|0.0027523698009482753|0.8101839072715517|9.619849533505748|16.993762507902296
937.0|5.625|0.02287258292561366|0.02580393178751334|8.533196913265742e-06|0.0030135538910885814|0.7415522059199573|9.620978984951975|17.169100805763076
586.0|5.75|0.02471705051774744|0.024255433579692832|9.009455675494882e-06|0.0032828268682935156|0.6529184282081911|9.620909741774742|17.338041560068262
902.0|5.875|0.02636860796895787|0.022657068668847005|7.274145556407982e-06|0.0035467718170288246|0.5437045768946785|9.620801816951218|17.465974344124174
580.0|6.0|0.028927454677758622|0.02144659615758621|6.524447763068966e-06|0.003793229727206897|0.46062874434137935|9.621185564000001|17.574188912413796
476.0|6.25|0.03221438169327731|0.019417129389285713|6.218918308340337e-06|0.004250149734579831|0.32573763396638655|9.620280712521009|17.77193401092437
578.0|6.5|0.03460936221418685|0.01780880268321799|5.438253636418685e-06|0.004586031753062284|0.24596629879238754|9.62039507650519|17.881313958823533
404.0|7.0|0.03937802481757426|0.01573392672747525|4.834467888737623e-06|0.005037590996980198|0.18038849942549504|9.62162070871287|18.05241095420792
225.0|7.5|0.04556844024977777|0.014271104783555555|4.7471789392444435e-06|0.005308702290533333|0.14438476502000003|9.6200455608|18.158355994222223
81.0|8.0|0.049312637598765426|0.01343903703580247|4.897882822592592e-06|0.005528202858641975|0.12130624405185184|9.620655850864198|18.185628619753086
10.0|9.0|0.04434509278|0.01315917969|3.05175781e-06|0.005856323242|0.12277832015|9.622796631|18.25304567
